,amount,amount,amount
CUST01782,276315.48,1239.0828699551569,223
CUST06678,239742.41999999998,1324.5437569060773,181
CUST09477,245106.5,1244.1954314720813,197
CUST02915,261832.41,1315.7407537688443,199
CUST03838,284611.38,1437.4312121212122,198
CUST02497,218176.27000000002,1338.5047239263804,163
CUST05763,315353.83999999997,1473.616074766355,214
CUST04608,287411.13,1528.7826063829787,188
CUST08744,316278.5,1363.2693965517242,232
CUST09008,258088.4,1365.54708994709,189
CUST00980,291686.84,1395.6308133971293,209
CUST07157,351168.45,1469.3240585774058,239
CUST09884,261622.77,1308.11385,200
CUST04417,276265.0,1374.452736318408,201
CUST02453,274882.76,1308.9655238095238,210
CUST06771,296091.91,1370.7958796296296,216
CUST08849,252788.18,1366.4225945945946,185
CUST02309,241006.4,1211.0874371859297,199
CUST04215,291161.72,1420.3010731707316,205
CUST08932,255221.53,1410.0637016574585,181
CUST08169,239105.91,1398.2801754385964,171
CUST07338,272402.48,1348.5271287128712,202
CUST09919,270842.74,1295.8982775119616,209
CUST09926,247731.86000000002,1297.025445026178,191
CUST02302,306821.43,1511.4356157635468,203
CUST05593,309743.04,1382.7814285714285,224
CUST00388,272176.73,1302.281004784689,209
CUST05566,272245.18,1354.4536318407959,201
CUST08427,297630.49,1574.7644973544973,189
CUST01078,250758.87,1385.4081215469614,181
CUST03633,245849.16,1350.8195604395605,182
CUST00992,261908.16,1447.006408839779,181
CUST04119,298789.57,1443.4278743961354,207
CUST08349,279887.75,1320.2252358490566,212
CUST06404,251620.28,1283.7769387755102,196
CUST05193,281032.56,1405.1628,200
CUST04528,281467.65,1529.715489130435,184
CUST01042,293436.97000000003,1452.6582673267328,202
CUST09588,250102.6,1316.3294736842106,190
CUST06132,259136.7,1472.3676136363638,176
CUST01142,286571.25,1326.71875,216
CUST04338,259316.54,1264.9587317073172,205
CUST03642,238705.15,1249.7651832460733,191
CUST09038,271520.77,1318.0619902912622,206
CUST04260,290698.62,1446.2617910447761,201
CUST05418,270834.47,1334.1599507389162,203
CUST07539,253477.45,1230.4730582524273,206
CUST08641,300707.18,1466.8642926829268,205
CUST06794,294373.77,1314.1686160714287,224
CUST08838,274752.93,1360.1630198019802,202
CUST04844,272333.47,1403.7807731958762,194
CUST06385,272358.14,1355.0156218905474,201
CUST05183,304043.15,1401.1205069124426,217
CUST09158,285539.42,1487.1844791666665,192
CUST08715,245239.93,1354.9167403314916,181
CUST02063,296557.42,1468.1060396039604,202
CUST00354,271606.61,1452.4417647058822,187
CUST10000,278462.16,1365.0105882352939,204
CUST06961,362284.29000000004,1515.8338493723852,239
CUST01053,262422.39,1332.093350253807,197
CUST08287,262647.71,1404.53320855615,187
CUST09915,278301.15,1384.5828358208955,201
CUST06090,258765.49,1287.3904975124378,201
CUST02839,272819.94,1357.3131343283583,201
CUST09581,263063.45,1391.870105820106,189
CUST05303,292588.72,1427.2620487804877,205
CUST03423,250398.5,1264.638888888889,198
CUST09225,280239.92,1429.7955102040814,196
CUST00783,292465.76,1412.8780676328504,207
CUST08952,308902.02,1410.511506849315,219
CUST09705,306663.12,1413.1941013824885,217
CUST01697,297075.65,1588.6398395721926,187
CUST04066,248714.24,1337.1733333333332,186
CUST04226,275996.65,1359.5894088669952,203
CUST07176,317418.73,1392.1874122807017,228
CUST02519,274055.19,1391.1430964467006,197
CUST07607,269524.97000000003,1361.2372222222223,198
CUST07944,288187.34,1365.816777251185,211
CUST06878,284356.96,1236.3346086956524,230
CUST09422,304741.43,1465.1030288461538,208
CUST08919,267153.25,1391.4231770833333,192
CUST03037,280743.8,1349.7298076923075,208
CUST00516,238653.87,1348.3269491525423,177
CUST03435,259009.59,1370.421111111111,189
CUST00632,286380.43,1468.6175897435896,195
CUST09344,287395.47,1318.3278440366971,218
CUST05030,251077.19,1294.2123195876288,194
CUST06369,305734.51,1422.020976744186,215
CUST08067,245936.46,1267.7137113402061,194
CUST04648,275368.16000000003,1356.4933990147786,203
CUST00287,279237.86000000004,1403.2053266331661,199
CUST05018,289334.47000000003,1439.4749751243783,201
CUST08689,289562.84,1378.8706666666667,210
CUST00110,300025.61,1515.2808585858586,198
CUST00454,274103.07,1311.497942583732,209
CUST03538,239945.46,1411.443882352941,170
CUST00963,263913.3,1346.4964285714286,196
CUST03744,240462.5,1398.0377906976744,172
CUST08526,296159.17,1358.5283027522935,218
CUST07425,268090.34,1360.8646700507616,197
CUST01334,282802.56,1414.0128,200
CUST00210,324186.07,1500.8614351851852,216
CUST02186,268348.63,1315.4344607843138,204
CUST00586,243381.21,1337.2593956043956,182
CUST02048,304161.42,1395.2358715596329,218
CUST01544,310665.64,1500.8001932367151,207
CUST00573,258330.84,1419.4002197802197,182
CUST06658,297203.44,1375.9418518518519,216
CUST06328,290922.58,1353.1282790697676,215
CUST07095,282128.31,1484.8858421052632,190
CUST08256,245747.72,1342.8837158469946,183
CUST05246,312286.37,1369.6770614035088,228
CUST07158,306728.44,1496.236292682927,205
CUST03436,290204.73,1408.7608252427183,206
CUST02032,346363.95,1473.8891489361702,235
CUST04310,285900.24,1381.160579710145,207
CUST08226,329860.52,1434.1761739130436,230
CUST08573,300382.35,1479.7160098522165,203
CUST00325,314695.78,1605.5907142857145,196
CUST04489,234269.34,1338.6819428571428,175
CUST02320,319651.13,1536.784278846154,208
CUST08049,279023.37,1335.0400478468898,209
CUST05014,252479.31,1335.869365079365,189
CUST07851,289073.16000000003,1410.1129756097562,205
CUST08372,230663.57,1240.1267204301075,186
CUST03769,290649.76,1345.6007407407408,216
CUST01320,299536.01,1426.3619523809525,210
CUST08520,272724.92,1377.3985858585859,198
CUST09924,283239.5,1582.3435754189943,179
CUST09459,265316.12,1426.430752688172,186
CUST07682,328429.99,1506.5595871559633,218
CUST01894,249042.37,1447.9207558139535,172
CUST09663,278162.81,1456.3497905759161,191
CUST02729,253443.33000000002,1362.5985483870968,186
CUST04518,292100.78,1358.6082790697676,215
CUST02956,298306.46,1362.1299543378996,219
CUST09995,280204.56,1394.0525373134328,201
CUST00904,269037.61,1287.2612918660286,209
CUST07474,257998.53,1433.3251666666667,180
CUST00386,290803.38,1425.5067647058825,204
CUST07883,319235.34,1505.8270754716982,212
CUST02973,293084.55,1422.7405339805825,206
CUST04902,279521.25,1356.8992718446602,206
CUST08155,253246.71,1472.3645930232558,172
CUST09364,259326.94,1386.7750802139037,187
CUST00721,302501.13,1320.965633187773,229
CUST02045,292881.83,1278.9599563318777,229
CUST08534,285137.43,1432.851407035176,199
CUST01363,230914.94,1261.8302732240438,183
CUST08899,297925.16000000003,1398.7096713615024,213
CUST00063,247397.89,1281.8543523316064,193
CUST06229,257487.53,1262.193774509804,204
CUST04962,263877.35,1388.8281578947367,190
CUST06721,219966.34,1309.3234523809524,168
CUST07606,259749.91,1374.338148148148,189
CUST05049,270872.69,1296.0415789473684,209
CUST04943,248571.4,1336.4053763440859,186
CUST06489,258259.72,1345.1027083333333,192
CUST03528,288121.43,1516.4285789473684,190
CUST00143,266641.27,1353.5089847715738,197
CUST02606,274737.65,1394.6073604060914,197
CUST03101,270766.16000000003,1425.0850526315792,190
CUST06140,288441.35,1386.7372596153846,208
CUST02724,271965.19,1387.5775,196
CUST01210,281173.83,1464.44703125,192
CUST03491,288875.22,1423.0306403940886,203
CUST07818,275119.79,1418.1432474226804,194
CUST02912,242586.85,1347.7047222222222,180
CUST07653,258662.31,1421.2214835164834,182
CUST09316,292713.41000000003,1427.870292682927,205
CUST07304,268948.81,1453.7773513513514,185
CUST00658,308783.26,1477.431866028708,209
CUST00611,314281.99,1461.7766976744185,215
CUST03659,285644.56,1360.2121904761905,210
CUST07186,325851.81,1501.6212442396313,217
CUST00173,284760.42,1416.7185074626864,201
CUST02214,285705.2,1519.7085106382979,188
CUST06045,267491.06,1324.2131683168316,202
CUST03476,289596.57,1353.255,214
CUST05307,302327.51,1399.6643981481482,216
CUST04307,248513.45,1280.9971649484537,194
CUST09630,246090.82,1302.0678306878308,189
CUST07242,282185.17,1337.3704739336492,211
CUST00587,258863.41,1369.647671957672,189
CUST05486,304911.2,1398.6752293577981,218
CUST09439,302739.92,1434.7863507109005,211
CUST00339,204240.17,1141.0065363128492,179
CUST09443,341256.19,1392.8824081632654,245
CUST08081,273215.11,1307.2493301435406,209
CUST07035,288105.26,1477.462871794872,195
CUST00574,248283.21,1273.2472307692308,195
CUST07336,259081.74,1408.0529347826086,184
CUST07750,205582.47,1174.7569714285714,175
CUST00253,287873.07,1390.69115942029,207
CUST06362,258209.06,1324.1490256410257,195
CUST09677,246005.73,1329.7607027027027,185
CUST07508,250092.57,1269.5054314720812,197
CUST05903,288263.01,1509.2304188481676,191
CUST08031,312871.07,1428.6350228310503,219
CUST04551,295079.06,1425.5027053140097,207
CUST08703,347171.94,1522.683947368421,228
CUST05195,255764.19,1390.0227717391303,184
CUST08297,279020.12,1374.4833497536945,203
CUST01611,259822.34,1325.6241836734694,196
CUST05143,283669.98,1383.7559999999999,205
CUST08362,282058.77,1424.5392424242425,198
CUST02901,293056.52,1252.3782905982907,234
CUST07622,307445.86,1485.2457004830917,207
CUST04375,270596.08,1307.2274396135267,207
CUST04238,266125.94,1279.4516346153846,208
CUST03920,278591.66000000003,1458.5950785340315,191
CUST07098,274470.05,1422.1246113989637,193
CUST06531,306817.48,1518.898415841584,202
CUST04291,314459.64,1422.894298642534,221
CUST00969,253040.98,1324.821884816754,191
CUST00074,270013.54,1350.0676999999998,200
CUST06705,251843.99,1325.4946842105262,190
CUST02719,239281.68,1314.7345054945054,182
CUST02948,263046.11,1477.7871348314607,178
CUST08512,276255.79000000004,1290.9149065420563,214
CUST07487,298956.52,1472.6922167487685,203
CUST02255,284611.16,1402.0254187192118,203
CUST02953,232367.46,1269.7675409836065,183
CUST01780,294770.46,1437.9046829268293,205
CUST05413,282589.36,1519.297634408602,186
CUST07288,301690.05,1436.6192857142858,210
CUST05928,281715.99,1286.3743835616438,219
CUST09526,299250.75,1438.7055288461538,208
CUST09882,276213.32,1315.3015238095238,210
CUST04219,316169.63,1392.8177533039648,227
CUST00731,282993.67,1407.9287064676616,201
CUST05385,295704.04,1401.4409478672985,211
CUST09864,279039.06,1388.2540298507463,201
CUST09209,265184.27,1366.9292268041238,194
CUST06282,290491.52,1326.445296803653,219
CUST02873,260920.83,1425.7968852459016,183
CUST00313,255249.05,1372.3067204301074,186
CUST00954,266577.34,1425.547272727273,187
CUST04239,242720.15999999997,1333.6272527472527,182
CUST04004,261377.35,1333.5579081632654,196
CUST01883,252331.95,1287.4079081632653,196
CUST07442,256966.01,1366.8404787234042,188
CUST00321,250376.26,1368.1762841530056,183
CUST05040,249514.65,1292.8220207253885,193
CUST09285,288344.19,1463.6760913705584,197
CUST08304,283314.18,1362.0874038461538,208
CUST03915,285580.55,1386.313349514563,206
CUST00629,245670.83,1234.5267839195978,199
CUST01000,282656.0,1427.5555555555557,198
CUST01892,267512.83,1286.119375,208
CUST09324,246758.85,1298.7307894736844,190
CUST00482,276251.0,1315.4809523809524,210
CUST06616,270739.76,1395.5657731958763,194
CUST04715,271328.44,1458.7550537634409,186
CUST03732,281014.45,1377.5218137254903,204
CUST07188,285779.46,1387.2789320388351,206
CUST03998,251065.77,1314.4804712041885,191
CUST05625,294551.45,1422.9538647342995,207
CUST05041,242117.36000000002,1287.8582978723405,188
CUST03948,257775.25,1393.3797297297297,185
CUST04556,294223.49,1387.846650943396,212
CUST06043,307949.34,1445.7715492957748,213
CUST08527,300546.02,1385.0047004608296,217
CUST01473,286971.9,1427.7208955223882,201
CUST08504,239166.38,1272.1615957446809,188
CUST02459,321730.4,1436.2964285714286,224
CUST00268,259097.85,1335.5559278350515,194
CUST05727,272055.08,1494.808131868132,182
CUST02546,248990.1,1270.3576530612245,196
CUST01004,308103.48,1387.8535135135135,222
CUST03805,266481.42,1387.9240625,192
CUST00292,277337.76,1333.3546153846155,208
CUST01261,268822.54,1324.2489655172412,203
CUST09435,274788.7,1401.983163265306,196
CUST03161,281464.24,1372.9962926829269,205
CUST07507,271952.21,1333.099068627451,204
CUST05154,271043.58,1315.7455339805826,206
CUST02984,283258.28,1483.0276439790578,191
CUST05092,282203.39,1369.9193689320389,206
CUST00539,253055.36000000002,1324.8971727748692,191
CUST01526,254946.86,1356.100319148936,188
CUST00251,252968.32,1331.412210526316,190
CUST09769,260151.64,1369.219157894737,190
CUST03405,306363.29,1494.4550731707316,205
CUST03602,297706.05,1424.430861244019,209
CUST07548,333352.95,1550.4788372093024,215
CUST01741,299446.74,1290.7187068965518,232
CUST03597,311084.52,1433.5692165898618,217
CUST07686,252946.73,1389.8171978021978,182
CUST09452,253424.91999999998,1195.4005660377359,212
CUST04306,234006.19,1158.446485148515,202
CUST02794,275943.44,1386.6504522613066,199
CUST03375,302803.85,1401.8696759259258,216
CUST05683,293671.03,1411.879951923077,208
CUST04052,269371.41000000003,1417.744263157895,190
CUST07287,244674.19,1223.37095,200
CUST04540,303866.51,1504.2896534653466,202
CUST01866,245490.55,1341.4784153005464,183
CUST00868,274164.45,1364.0022388059701,201
CUST00918,242768.52,1305.2070967741936,186
CUST00230,292193.89,1391.3994761904762,210
CUST06397,275163.32,1495.4528260869565,184
CUST04180,278948.2,1347.575845410628,207
CUST06847,260137.74,1406.149945945946,185
CUST02655,297459.29,1409.7596682464455,211
CUST08475,290433.68,1389.6348325358852,209
CUST03112,314005.78,1427.2990000000002,220
CUST09999,263835.77,1395.9564550264552,189
CUST04381,273972.29,1539.1701685393257,178
CUST03357,258396.24,1325.108923076923,195
CUST00100,268759.25,1422.0066137566137,189
CUST03103,316538.61,1606.7949746192892,197
CUST04947,276741.27,1363.257487684729,203
CUST06127,316967.67,1516.5917224880382,209
CUST06596,248187.0,1356.2131147540983,183
CUST01076,292840.34,1478.9916161616163,198
CUST00134,296305.12,1543.2558333333334,192
CUST06796,314990.95,1514.3795673076925,208
CUST03506,284235.88,1373.120193236715,207
CUST08158,261634.5,1239.9739336492892,211
CUST00498,298730.71,1415.7853554502371,211
CUST07269,302155.55,1526.0381313131313,198
CUST08719,235776.96,1228.0049999999999,192
CUST03147,285668.43,1487.85640625,192
CUST08532,274982.94,1328.42,207
CUST01338,335077.13,1692.3087373737374,198
CUST08892,303579.92,1343.2739823008849,226
CUST07381,269546.25,1314.8597560975609,205
CUST03083,279605.54,1350.7514009661834,207
CUST02129,308483.36,1448.2786854460094,213
CUST06155,306691.65,1510.7963054187194,203
CUST05182,271656.01,1386.0000510204081,196
CUST08020,297110.4,1338.3351351351353,222
CUST01792,243058.43,1306.765752688172,186
CUST03793,249681.18,1434.9493103448276,174
CUST06953,292463.15,1379.5431603773586,212
CUST08088,328202.75,1402.5758547008547,234
CUST02878,288362.07,1427.535,202
CUST00698,214532.6,1185.2629834254144,181
CUST02275,311318.94,1454.7614018691588,214
CUST06946,291152.4,1477.9309644670052,197
CUST03434,261058.63,1373.9927894736843,190
CUST09490,278686.72,1379.6372277227722,202
CUST02033,317207.69,1525.0369711538463,208
CUST07789,282790.87,1379.4676585365853,205
CUST01166,290540.26,1383.5250476190477,210
CUST01436,283697.92,1509.0314893617021,188
CUST01554,240929.19,1361.1818644067796,177
CUST05572,292707.33,1367.791261682243,214
CUST02428,270120.59,1399.588549222798,193
CUST03514,272975.19,1467.6085483870968,186
CUST09637,284101.87,1359.3390909090908,209
CUST09625,267002.55,1369.243846153846,195
CUST06606,296951.98,1522.8306666666665,195
CUST03863,292726.27,1557.0546276595746,188
CUST04665,278160.65,1487.490106951872,187
CUST04168,285856.56,1281.8679820627804,223
CUST07759,282361.79000000004,1397.8306435643567,202
CUST00905,266134.58999999997,1495.1381460674156,178
CUST05806,261075.30000000002,1345.748969072165,194
CUST01045,272247.71,1290.2735071090049,211
CUST05892,258537.37,1485.8469540229885,174
CUST02779,283503.79,1282.8225791855202,221
CUST05078,299786.74,1441.2824038461538,208
CUST04874,271592.01,1371.6768181818181,198
CUST01511,277790.24,1298.0852336448597,214
CUST02429,247549.46,1309.7855026455027,189
CUST04075,287009.63,1353.8190094339623,212
CUST09640,279483.7,1425.9372448979593,196
CUST02250,306565.95,1466.8227272727274,209
CUST09651,267287.91000000003,1260.792028301887,212
CUST04617,293145.64,1409.3540384615385,208
CUST02313,287705.54,1431.370845771144,201
CUST01279,259552.69,1230.1075355450237,211
CUST08405,311393.96,1511.6211650485438,206
CUST07156,236895.74,1266.822139037433,187
CUST06283,286740.03,1462.959336734694,196
CUST01350,259307.15,1211.7156542056075,214
CUST04887,239523.08000000002,1274.0589361702127,188
CUST05229,239913.12,1332.8506666666667,180
CUST04002,251981.22999999998,1279.092538071066,197
CUST01094,232800.88,1361.4086549707602,171
CUST03092,312388.19,1569.7898994974873,199
CUST08938,314865.71,1492.2545497630333,211
CUST09094,305585.42,1512.799108910891,202
CUST09183,296375.73,1459.9789655172412,203
CUST04968,252276.97,1280.5937563451778,197
CUST00213,280967.58,1350.805673076923,208
CUST00924,282526.87,1441.4636224489795,196
CUST09194,226132.11000000002,1263.3078770949721,179
CUST06519,248370.09,1286.8916580310881,193
CUST08599,272764.01,1391.653112244898,196
CUST05570,283883.69,1448.3861734693878,196
CUST02495,290300.04,1388.9954066985645,209
CUST06714,240444.67,1328.4235911602211,181
CUST04255,258759.72,1376.381489361702,188
CUST00138,264242.52,1341.3325888324873,197
CUST01150,243901.95,1370.2356741573035,178
CUST01253,331769.41000000003,1550.3243457943927,214
CUST03949,276368.07,1439.41703125,192
CUST05324,249766.01,1379.9227071823204,181
CUST07353,313175.44,1391.8908444444444,225
CUST01381,267147.59,1322.5128217821784,202
CUST05330,262935.52,1321.2840201005026,199
CUST02980,314185.82,1415.2514414414416,222
CUST00985,292113.23,1467.9056783919598,199
CUST07717,288036.75,1425.924504950495,202
CUST02267,311361.17,1518.834975609756,205
CUST09788,237448.48,1311.8700552486189,181
CUST03639,297470.26,1396.5739906103288,213
CUST01655,261857.17,1462.889217877095,179
CUST05389,295200.18,1440.0008780487804,205
CUST05984,279249.96,1485.3721276595745,188
CUST05160,302556.54,1400.7247222222222,216
CUST00445,290706.54,1418.0806829268292,205
CUST01801,333911.43,1567.659295774648,213
CUST09134,318604.79,1448.2035909090907,220
CUST07937,267225.18,1391.7978125,192
CUST03892,241014.33000000002,1295.7759677419356,186
CUST08890,233369.47,1234.7591005291006,189
CUST03946,269534.4,1389.3525773195877,194
CUST03414,298536.19,1401.5783568075117,213
CUST07139,280087.28,1489.8259574468086,188
CUST09560,270687.55,1402.5261658031088,193
CUST03821,298503.07,1507.5912626262627,198
CUST09367,279419.05,1502.2529569892472,186
CUST01592,327668.08,1552.9292890995262,211
CUST02386,337736.51,1468.4196086956522,230
CUST00828,269070.04,1212.027207207207,222
CUST06133,335887.08,1486.2260176991151,226
CUST06651,243750.63,1369.3855617977529,178
CUST06918,275932.51,1386.595527638191,199
CUST08185,266796.6,1361.2071428571428,196
CUST00502,258393.07,1374.4312234042554,188
CUST01602,284805.59,1468.0700515463918,194
CUST04574,266533.63,1425.3135294117646,187
CUST03871,327035.38,1535.3773708920187,213
CUST01886,271624.47,1437.1665079365077,189
CUST01254,259008.01,1497.15612716763,173
CUST02797,274129.91,1465.9353475935827,187
CUST00372,310982.73,1487.9556459330142,209
CUST00309,296908.56,1455.4341176470589,204
CUST04634,348518.44,1489.3950427350428,234
CUST09756,256147.68,1355.27873015873,189
CUST02710,312756.11,1415.1860180995475,221
CUST02714,287098.02999999997,1435.4901499999999,200
CUST02121,336754.95,1439.123717948718,234
CUST05768,322576.66,1550.849326923077,208
CUST09917,256528.65,1364.5140957446808,188
CUST00884,266506.94,1440.578054054054,185
CUST08645,295984.08,1479.9204,200
CUST00234,271611.52,1351.3010945273634,201
CUST05994,285693.48,1386.861553398058,206
CUST09423,256269.74,1341.726387434555,191
CUST08815,316687.64,1420.1239461883408,223
CUST04785,270086.9,1414.0675392670157,191
CUST06579,281472.46,1428.7942131979696,197
CUST00617,295373.46,1399.8742180094787,211
CUST08772,283093.21,1415.46605,200
CUST01638,309820.07,1427.7422580645161,217
CUST01213,246552.61,1284.1281770833332,192
CUST07945,269731.6,1362.280808080808,198
CUST04396,265918.47000000003,1309.9432019704434,203
CUST09557,295760.55,1421.925721153846,208
CUST02196,301392.63,1442.07,209
CUST04646,261337.29,1443.8524309392265,181
CUST00096,282812.51,1359.6755288461538,208
CUST05074,221290.65,1250.2296610169492,177
CUST03180,315093.43,1465.5508372093022,215
CUST03276,261649.28,1384.387724867725,189
CUST03122,249900.33,1281.5401538461538,195
CUST05488,287938.14,1411.4614705882354,204
CUST02595,299298.88,1459.994536585366,205
CUST07444,268041.77,1313.9302450980392,204
CUST04175,297350.64,1486.7532,200
CUST08590,257155.22,1428.640111111111,180
CUST00770,288044.5,1391.5193236714977,207
CUST02415,337056.99,1504.7187053571429,224
CUST04203,278001.53,1336.5458173076925,208
CUST03818,277678.71,1477.0144148936172,188
CUST02972,282480.12,1478.9535078534032,191
CUST07231,255969.33,1286.278040201005,199
CUST00702,294467.9,1402.2280952380954,210
CUST02098,257465.97,1430.3665,180
CUST06178,289637.44,1419.7913725490196,204
CUST05630,256439.33,1356.8218518518518,189
CUST06220,276928.5,1357.4926470588234,204
CUST01919,247917.91999999998,1277.9274226804123,194
CUST01168,257351.54,1445.795168539326,178
CUST08901,309404.08,1412.8040182648404,219
CUST06423,264032.29,1375.1681770833331,192
CUST00790,212167.49,1351.3852866242037,157
CUST09710,319090.0,1443.8461538461538,221
CUST02207,287587.21,1402.8644390243903,205
CUST03247,258598.66,1361.0455789473685,190
CUST03966,293026.86,1356.6058333333333,216
CUST00865,330695.18,1456.806960352423,227
CUST06262,275644.02999999997,1413.559128205128,195
CUST03856,286406.27,1397.103756097561,205
CUST05371,292021.74,1482.3438578680202,197
CUST04704,299979.9,1477.7334975369458,203
CUST03002,302841.86,1521.8183919597989,199
CUST08264,266468.55,1387.8570312499999,192
CUST07148,260852.82,1324.1259898477158,197
CUST00181,243403.61,1359.7967039106145,179
CUST09114,253884.49,1336.2341578947369,190
CUST04422,245068.13,1416.5787861271676,173
CUST03661,300162.21,1352.0820270270272,222
CUST01095,260208.52,1334.4026666666666,195
CUST09371,256036.16,1383.9792432432432,185
CUST01900,320748.56,1464.605296803653,219
CUST04059,283939.47,1434.0377272727271,198
CUST08805,256158.41,1237.4802415458937,207
CUST04851,335852.28,1654.4447290640396,203
CUST08135,289747.8,1329.118348623853,218
CUST08163,314264.94,1454.9302777777777,216
CUST01957,299917.05,1357.0907239819005,221
CUST03896,259725.83000000002,1396.3754301075269,186
CUST04609,292129.32,1404.4678846153847,208
CUST00983,276738.04000000004,1383.6902000000002,200
CUST02762,260641.66,1401.299247311828,186
CUST03393,264880.52,1273.4640384615386,208
CUST01628,322451.88,1408.0868122270742,229
CUST08934,254531.93,1398.5270879120878,182
CUST07411,277562.19,1508.4901630434783,184
CUST01964,271662.29,1422.3156544502617,191
CUST07921,276700.04,1311.374597156398,211
CUST03369,288111.61,1405.422487804878,205
CUST04399,235684.67,1273.9711891891893,185
CUST08546,365595.61,1596.4873799126638,229
CUST01235,326237.29,1331.580775510204,245
CUST00260,270766.4,1333.824630541872,203
CUST07390,277108.52,1392.5051256281408,199
CUST05930,220139.3,1257.9388571428572,175
CUST06039,283924.24,1426.7549748743718,199
CUST09025,318733.02999999997,1547.2477184466018,206
CUST02944,288534.29,1449.9210552763818,199
CUST00084,285222.32,1462.6785641025642,195
CUST03586,251255.27000000002,1427.5867613636365,176
CUST02008,328219.03,1540.93441314554,213
CUST02698,256504.65,1322.1889175257731,194
CUST06843,304370.89,1456.32004784689,209
CUST01016,301368.27,1408.2629439252337,214
CUST03885,276970.47000000003,1318.9070000000002,210
CUST08082,274858.17,1308.8484285714285,210
CUST03383,293924.92,1329.9770135746605,221
CUST00964,263855.33,1388.7122631578948,190
CUST05411,267736.48,1394.4608333333333,192
CUST09142,292524.15,1366.9352803738318,214
CUST02752,307945.31,1419.102811059908,217
CUST07790,269627.24,1328.2130049261084,203
CUST06688,309476.92,1446.1538317757008,214
CUST00923,299942.74,1499.7137,200
CUST00442,297959.93,1425.6455980861244,209
CUST07509,259804.58,1374.6274074074074,189
CUST00806,225494.27,1238.9795054945055,182
CUST07644,322568.97000000003,1493.3748611111112,216
CUST04468,233102.58,1239.9073404255319,188
CUST07270,294631.09,1503.2198469387756,196
CUST02496,247774.29,1368.918729281768,181
CUST05147,245012.94,1276.1090625,192
CUST08881,281806.8,1280.94,220
CUST01111,249847.66,1308.1029319371728,191
CUST08565,282446.97000000003,1455.9122164948456,194
CUST06444,292574.96,1420.266796116505,206
CUST05211,272164.25,1354.0509950248756,201
CUST08090,302822.72000000003,1484.4250980392158,204
CUST06656,310715.61,1393.3435426008969,223
CUST01048,253138.56,1375.753043478261,184
CUST09438,247379.23,1301.9959473684212,190
CUST09245,316953.97000000003,1434.180859728507,221
CUST02348,280795.67,1411.0335175879395,199
CUST00601,257982.26,1336.6956476683938,193
CUST04096,289742.65,1360.294131455399,213
CUST04018,268754.86,1350.5269346733667,199
CUST03734,272602.85,1457.7692513368984,187
CUST02768,299398.93,1482.1729207920791,202
CUST04070,282053.03,1424.5102525252526,198
CUST08758,282960.51,1322.2453738317759,214
CUST08650,263830.43,1395.928201058201,189
CUST05329,270920.21,1389.3344102564104,195
CUST09164,275693.61,1319.1081818181817,209
CUST05737,287041.15,1366.862619047619,210
CUST00106,226313.21,1264.3196089385474,179
CUST09880,288278.43,1399.409854368932,206
CUST09932,342817.45,1579.8039170506913,217
CUST07923,268177.06,1354.4295959595959,198
CUST09024,265183.7,1395.7036842105265,190
CUST02401,281250.65,1427.6682741116751,197
CUST04717,231243.71,1299.1219662921349,178
CUST09836,287679.79,1445.6270854271356,199
CUST02354,258122.18,1402.8379347826087,184
CUST07310,254320.67,1352.769521276596,188
CUST07849,271646.07,1437.2807936507936,189
CUST09307,277248.63,1379.3464179104478,201
CUST03936,255960.0,1299.2893401015228,197
CUST07504,235403.57,1444.1936809815952,163
CUST04222,294080.46,1427.5750485436895,206
CUST02471,245079.6,1310.5860962566844,187
CUST07690,281476.63,1379.7874019607843,204
CUST06324,245602.92,1342.0924590163936,183
CUST00382,235879.37,1296.0404945054945,182
CUST00429,322535.11,1500.1633023255813,215
CUST01455,298067.87,1497.8284924623115,199
CUST02125,249554.36,1334.515294117647,187
CUST08273,297032.26,1434.9384541062802,207
CUST04537,303384.16000000003,1431.0573584905662,212
CUST07928,296405.9,1418.2100478468901,209
CUST07704,284970.99,1370.0528365384614,208
CUST09091,220200.7,1367.7062111801242,161
CUST09270,302440.41,1381.0064383561642,219
CUST06124,276597.97,1355.8724019607841,204
CUST05975,289216.93,1338.9672685185185,216
CUST04265,308668.85,1429.0224537037036,216
CUST04570,270755.93,1347.0444278606965,201
CUST01907,241322.22,1297.4312903225807,186
CUST05959,274116.01,1557.4773295454545,176
CUST06925,272159.21,1302.1971770334928,209
CUST07257,255062.02,1268.9652736318408,201
CUST06515,287294.01,1361.5829857819906,211
CUST00542,279077.83,1445.9991191709846,193
CUST07222,262223.61,1311.11805,200
CUST07354,273358.13,1416.3633678756478,193
CUST02914,277608.6,1423.633846153846,195
CUST05649,266747.13,1301.205512195122,205
CUST08558,314925.09,1451.2676958525346,217
CUST03075,289392.0,1446.96,200
CUST09619,231825.3,1371.7473372781064,169
CUST07598,292592.33,1360.8945581395349,215
CUST05754,266632.5,1418.2579787234042,188
CUST02458,312917.49,1428.8469863013697,219
CUST03984,288003.84,1461.9484263959391,197
CUST03319,307668.96,1645.2885561497328,187
CUST05045,283943.13,1371.7059420289854,207
CUST04011,263718.3,1325.2175879396984,199
CUST06631,262086.63,1514.9516184971098,173
CUST09042,285614.5,1328.4395348837209,215
CUST08259,264491.68,1414.394010695187,187
